# CFRU hook symbols resolved against Radical Red v4.1
# ROM pinned by ../rom.sha1. Generated by tools/resolve_cfru_hooks.py — do not hand-edit.
# 539 resolved, 84 unresolved (of 623 hooks)
#
# name  vanilla_hook_addr  rr_compiled_addr (Thumb bit set)

SetPlayerAvatarEventObjectIdAndObjectId                 0x0805F02C  0x0907E6B5
EventObjectSetGraphicsIdFix                             0x0805F168  0x090424AD
NPCMartFix                                              0x0809BA6C  0x090424E5
CharacterCustomizationUpdateTrainerFrontPic2            0x0810BD64  0x09043105
PlayerGenderToFrontTrainerPicId                         0x0810C374  0x0907E701
GetPlayerAvatarGraphicsIdByStateIdAndGender             0x0805C7E0  0x0907E59B
GetPlayerAvatarGraphicsIdByStateId                      0x0805C808  0x0907E5B9
GetPlayerAvatarStateTransitionByGraphicsId              0x0805C988  0x0907E5C9
GetPlayerAvatarGraphicsIdByCurrentState                 0x0805C9C8  0x0907E609
GetPlayerAvatarGenderByGraphicsId                       0x0805C824  0x0907E64D
PlayerFishingFix                                        0x0805D3AC  0x090424CD
GetEventObjectGraphicsInfoByEventObj                    0x0801D760  0x0907E589
GetTrainerBattleTransition                              0x0807FF80  0x0906EE71
BT_Phase2Mugshot_LoadGfx                                0x080D28A8  0x09072F2D
BT_Phase2Mugshot_StartSpriteSlide                       0x080D2A54  0x09073629
BT_Phase2Mugshot_WaitForOpponentInPlace                 0x080D2AD0  0x0907377D
BT_Phase2Mugshot_StartBlackFade                         0x080D2C8C  0x090737C9
Mugshots_CreateOpponentPlayerSprites                    0x080D2EA4  0x09073039
ShiftTrainerMugshotSprite                               0x080D3094  0x09073809
SetPalFossilImage                                       0x0809D5A8  0x09042541
LoadPalFossilImage                                      0x0809D538  0x09042565
LoadPalFossilImage                                      0x0809D568  0x09042565
DeleteOBJFreeTiles                                      0x08007280  0x09042595
DeleteAllOBJs                                           0x0800779C  0x090425BD
DeleteReflection                                        0x080DAF88  0x090425CD
DeleteWarpArrow                                         0x080DB120  0x090425E9
SetPalMisc                                              0x080071B8  0x09042615
SetPalEmotionBubble                                     0x08082664  0x09042631
SetPalWarpArrow                                         0x080DB1AC  0x0904265D
SetPalItemfinderArrow                                   0x0813F434  0x09042689
SetPalFameCheckerUnknown                                0x0812D7A8  0x090426A9
SetPalNPC1                                              0x0805E6B0  0x090426D9
SetPalNPC2                                              0x0805EF78  0x090426ED
SetPalNPC3                                              0x0805EAB0  0x09042705
SetPalNPC4                                              0x0805EBC0  0x09042719
SetPalReflection                                        0x080DADB4  0x09042739
SetPalSurf                                              0x080DC410  0x09042749
SetPalFly                                               0x08087188  0x09042769
SetPalFly2                                              0x08086D58  0x09042791
SetPalShadow                                            0x080DB260  0x090427B9
RefreshFameCheckerNPCs                                  0x0812D2AC  0x090427D9
SetPalSSAnneWake                                        0x0815D4E8  0x09042829
SetPalSSAnneSmoke                                       0x0815D600  0x0904284D
GetDarkeningType1                                       0x0807A2D0  0x09042871
GetDarkeningType2                                       0x0807A428  0x09042881
GetDarkeningType3                                       0x0807A544  0x09042891
FogBrightenAll                                          0x0807AEC4  0x090428A1
FogBrightenOnStep                                       0x0807AAAC  0x090428C9
FogBrightenAndFadeIn                                    0x0807A644  0x090428F1
GetFadeType1                                            0x0807A0A8  0x0904290D
GetFadeType2                                            0x0807A860  0x09042935
SetUpWeirdDisguise                                      0x080DCA00  0x0908FF71
SetUpRockDisguise                                       0x080DC9F0  0x0908FF91
SetUpTreeDisguise                                       0x080DC9E0  0x0908FFB1
ClearAllPalettes                                        0x0805F574  0x0908FB7D
FindPalette                                             0x080089E8  0x0908FAF1
FindOrLoadPalette                                       0x08008928  0x0908FB9D
PaletteNeedsFogBrightening                              0x0807A748  0x0908FAD1
LoadCloudOrSandstormPalette                             0x0807ABC0  0x0908FFCD
DynamicWhiteoutMap                                      0x080BFD54  0x09000149
WhiteoutScreenFix                                       0x0807F542  0x09043191
FieldCB_RushInjuredPokemonToCenter                      0x0807F5F0  0x090B1CF9
CamomonsSummaryScreenHook                               0x08136168  0x09043293
